,0,1
0,69,3
1,77,3
2,62,3
3,99,4
4,71,3
5,35,1
6,79,3
7,90,4
8,83,4
9,52,2
10,32,1
11,54,2
12,69,3
13,30,1
14,95,4
15,72,3
16,93,4
17,65,3
18,73,3
19,51,2
20,64,3
21,22,1
22,70,3
23,84,4
24,53,2
25,94,4
26,49,2
27,66,3
28,97,4
29,26,1
30,90,4
31,54,2
32,90,4
33,64,3
34,39,1
35,84,4
36,69,3
37,56,2
38,66,3
39,78,3
40,57,2
41,24,1
42,93,4
43,93,4
44,90,4
45,51,2
46,71,3
47,38,1
48,95,4
49,48,2
50,64,3
51,35,1
52,69,3
53,45,2
54,55,2
55,69,3
56,54,2
57,90,4
58,78,3
59,93,4
60,66,3
61,23,1
62,24,1
63,35,1
64,56,2
65,61,3
66,54,2
67,58,2
68,70,3
69,53,2
70,94,4
71,82,4
72,27,1
73,31,1
74,29,1
75,43,2
76,90,4
77,59,2
78,96,4
79,73,3
80,83,4
81,29,1
82,93,4
83,60,3
84,82,4
85,43,2
86,51,2
87,72,3
88,83,4
89,56,2
90,43,2
91,90,4
92,30,1
93,28,1
94,99,4
95,90,4
96,99,4
97,94,4
98,43,2
99,60,3
100,21,1
101,42,2
102,84,4
103,50,2
104,30,1
105,62,3
106,39,1
107,96,4
108,37,1
109,92,4
110,72,3
111,100,0
112,23,1
113,26,1
114,66,3
115,29,1
116,25,1
117,93,4
118,26,1
119,98,4
120,75,3
121,76,3
122,87,4
123,49,2
124,94,4
125,46,2
126,33,1
127,53,2
128,50,2
129,39,1
130,39,1
131,70,3
132,31,1
133,20,1
134,38,1
135,82,4
136,95,4
137,76,3
138,66,3
139,74,3
140,88,4
141,67,3
142,81,4
143,99,4
144,48,2
145,20,1
146,98,4
147,29,1
148,79,3
149,87,4
150,31,1
151,93,4
152,54,2
153,43,2
154,59,2
155,75,3
156,76,3
157,75,3
158,23,1
159,34,1
160,27,1
161,57,2
162,37,1
163,89,4
164,99,4
165,75,3
166,42,2
167,85,4
168,81,4
169,83,4
170,95,4
171,44,2
172,91,4
173,100,0
174,87,4
175,36,1
176,83,4
177,72,3
178,49,2
179,26,1
180,66,3
181,66,3
182,41,2
183,22,1
184,65,3
185,94,4
186,53,2
187,26,1
188,26,1
189,46,2
190,77,3
191,60,3
192,83,4
193,74,3
194,57,2
195,70,3
196,100,0
197,47,2
198,34,1
199,77,3
200,100,0
201,66,3
202,96,4
203,52,2
204,64,3
205,37,1
206,71,3
207,26,1
208,31,1
209,28,1
210,71,3
211,75,3
212,61,3
213,66,3
214,87,4
215,30,1
216,76,3
217,96,4
218,65,3
219,69,3
220,26,1
221,95,4
222,74,3
223,55,2
224,42,2
225,32,1
226,70,3
227,50,2
228,74,3
229,55,2
230,40,2
231,20,1
232,60,3
233,27,1
234,76,3
235,100,0
236,37,1
237,95,4
238,84,4
239,83,4
240,98,4
241,22,1
242,20,1
243,68,3
244,31,1
245,96,4
246,96,4
247,39,1
248,20,1
249,76,3
250,99,4
251,69,3
252,28,1
253,45,2
254,70,3
255,87,4
256,97,4
257,50,2
258,35,1
259,31,1
260,92,4
261,71,3
262,25,1
263,74,3
264,96,4
265,50,2
266,69,3
267,23,1
268,35,1
269,98,4
270,52,2
271,80,4
272,32,1
273,23,1
274,33,1
275,88,4
276,82,4
277,52,2
278,28,1
279,83,4
280,84,4
281,52,2
282,81,4
283,84,4
284,52,2
285,42,2
286,53,2
287,62,3
288,61,3
289,36,1
290,44,2
291,72,3
292,33,1
293,36,1
294,74,3
295,41,2
296,85,4
297,54,2
298,30,1
299,83,4
300,86,4
301,31,1
302,92,4
303,68,3
304,89,4
305,98,4
306,34,1
307,58,2
308,46,2
309,21,1
310,80,4
311,91,4
312,45,2
313,42,2
314,63,3
315,58,2
316,90,4
317,53,2
318,83,4
319,21,1
320,92,4
321,47,2
322,27,1
323,27,1
324,31,1
325,85,4
326,83,4
327,78,3
328,32,1
329,52,2
330,22,1
331,82,4
332,67,3
333,41,2
334,93,4
335,95,4
336,29,1
337,69,3
338,57,2
339,97,4
340,71,3
341,33,1
342,48,2
343,72,3
344,78,3
345,99,4
346,56,2
347,57,2
348,77,3
349,28,1
350,71,3
351,38,1
352,93,4
353,78,3
354,27,1
355,100,0
356,52,2
357,23,1
358,60,3
359,99,4
360,98,4
361,99,4
362,25,1
363,41,2
364,63,3
365,94,4
366,93,4
367,61,3
368,96,4
369,33,1
370,87,4
371,43,2
372,100,0
373,91,4
374,41,2
375,34,1
376,97,4
377,53,2
378,57,2
379,80,4
380,68,3
381,48,2
382,59,2
383,51,2
384,88,4
385,99,4
386,98,4
387,35,1
388,41,2
389,100,0
390,27,1
391,54,2
392,74,3
393,41,2
394,73,3
395,67,3
396,53,2
397,38,1
398,60,3
399,75,3
400,95,4
401,70,3
402,51,2
403,22,1
404,95,4
405,59,2
406,38,1
407,48,2
408,99,4
409,96,4
410,44,2
411,69,3
412,25,1
413,77,3
414,98,4
415,31,1
416,80,4
417,73,3
418,50,2
419,78,3
420,60,3
421,98,4
422,27,1
423,63,3
424,81,4
425,38,1
426,97,4
427,80,4
428,94,4
429,22,1
430,97,4
431,68,3
432,45,2
433,83,4
434,91,4
435,69,3
436,26,1
437,61,3
438,72,3
439,48,2
440,38,1
441,69,3
442,84,4
443,82,4
444,55,2
445,91,4
446,79,3
447,71,3
448,86,4
449,34,1
450,57,2
451,41,2
452,49,2
453,94,4
454,87,4
455,45,2
456,66,3
457,61,3
458,48,2
459,79,3
460,51,2
461,78,3
462,39,1
463,45,2
464,100,0
465,75,3
466,70,3
467,57,2
468,91,4
469,29,1
470,59,2
471,48,2
472,27,1
473,71,3
474,52,2
475,60,3
476,68,3
477,77,3
478,26,1
479,92,4
480,61,3
481,21,1
482,71,3
483,91,4
484,82,4
485,94,4
486,37,1
487,64,3
488,70,3
489,74,3
490,21,1
491,20,1
492,97,4
493,70,3
494,72,3
495,24,1
496,24,1
497,97,4
498,31,1
499,74,3
500,27,1
501,94,4
502,69,3
503,96,4
504,26,1
505,23,1
506,30,1
507,100,0
508,77,3
509,81,4
510,93,4
511,72,3
512,81,4
513,22,1
514,83,4
515,98,4
516,40,2
517,41,2
518,54,2
519,81,4
520,59,2
521,83,4
522,62,3
523,86,4
524,25,1
525,36,1
526,58,2
527,95,4
528,53,2
529,39,1
530,63,3
531,32,1
532,49,2
533,71,3
534,81,4
535,38,1
536,35,1
537,48,2
538,72,3
539,66,3
540,38,1
541,80,4
542,65,3
543,29,1
544,29,1
545,69,3
546,59,2
547,49,2
548,68,3
549,31,1
550,79,3
551,29,1
552,27,1
553,77,3
554,41,2
555,69,3
556,90,4
557,26,1
558,65,3
559,42,2
560,52,2
561,81,4
562,34,1
563,50,2
564,26,1
565,43,2
566,78,3
567,53,2
568,58,2
569,94,4
570,29,1
571,60,3
572,56,2
573,30,1
574,33,1
575,27,1
576,42,2
577,46,2
578,33,1
579,61,3
